Id_transaction;Surface Carrez du 1er lot;Nombre de lots;Type local;Nombre pieces principales
214;37,6;1;Appartement;2
215;15,2;1;Appartement;1
216;29,85;1;Appartement;2
217;64,84;2;Appartement;3
218;37,82;1;Appartement;2
219;64,41;1;Appartement;3
220;63,63;1;Appartement;3
221;88,5;1;Maison;4
222;81,24;2;Appartement;3
223;42,25;1;Appartement;2
224;56;2;Appartement;3
225;69,17;2;Appartement;4
226;146,94;1;Maison;6
227;49;2;Appartement;3
228;93,02;2;Appartement;5
229;40;1;Appartement;2
230;115,97;1;Maison;5
231;90;1;Maison;2
232;67,23;1;Appartement;4
233;40,69;2;Appartement;3
234;54,2;2;Appartement;2
235;52,47;2;Appartement;3
236;65,62;3;Appartement;1
237;87,15;2;Appartement;4
238;23,8;1;Appartement;1
239;31,2;3;Appartement;2
240;78,02;2;Appartement;4
241;76,85;3;Appartement;1
242;59,73;1;Appartement;3
243;40,8;2;Appartement;3
244;61,06;2;Appartement;3
245;38,05;2;Appartement;2
246;32,02;1;Appartement;2
247;94,32;4;Appartement;4
248;61,97;2;Appartement;3
249;61,93;2;Appartement;3
250;25,16;1;Appartement;1
251;46,75;2;Appartement;2
252;48,5;2;Appartement;2
253;44,17;2;Appartement;2
254;35;4;Appartement;2
255;30,45;1;Appartement;2
256;70,56;1;Appartement;3
257;102,46;3;Appartement;6
258;21,13;1;Appartement;1
259;41,57;1;Appartement;2
260;29,07;2;Appartement;1
261;68,02;1;Appartement;3
262;73,81;1;Appartement;3
263;50,08;1;Appartement;2
264;61,93;1;Appartement;3
265;34,2;1;Appartement;2
266;39,39;2;Appartement;2
267;84,23;1;Appartement;4
268;50,6;1;Appartement;3
269;25,14;1;Appartement;1
270;64;1;Appartement;3
271;45,04;1;Appartement;2
272;56,86;1;Appartement;3
273;77,71;1;Appartement;4
274;61,05;1;Appartement;3
275;105,71;1;Appartement;4
276;30,09;1;Appartement;2
277;30,38;1;Appartement;2
278;47,04;1;Appartement;2
279;63,14;2;Appartement;3
280;45,61;2;Appartement;2
281;34,99;1;Appartement;1
282;67,19;2;Appartement;4
283;31,49;1;Appartement;1
284;82,59;1;Appartement;3
285;109,22;1;Maison;5
286;144,6;1;Appartement;4
287;31,21;3;Appartement;2
288;24,58;1;Appartement;1
289;36,6;1;Appartement;2
290;29;1;Appartement;1
291;54,34;1;Appartement;2
292;32,83;2;Appartement;2
293;133,44;2;Appartement;4
294;63,58;1;Appartement;3
295;50,75;1;Appartement;3
296;47,88;3;Appartement;2
297;68,03;2;Appartement;3
298;23,89;1;Appartement;3
299;22,15;1;Appartement;2
300;82,72;1;Appartement;5
301;36,8;1;Appartement;3
302;29,29;1;Appartement;1
303;115,53;1;Appartement;4
304;92,99;1;Maison;3
305;64,45;1;Appartement;3
306;24,89;1;Appartement;3
307;22,71;1;Appartement;1
308;85,37;1;Appartement;4
309;31,28;1;Appartement;1
310;112,09;1;Appartement;5
311;41,78;2;Appartement;2
312;47,05;2;Appartement;2
313;77,87;2;Appartement;3
314;70,19;1;Appartement;3
315;168,7;1;Appartement;4
316;32,16;2;Maison;2
317;82,11;1;Maison;4
318;36,29;2;Appartement;1
319;65,24;1;Appartement;3
320;36,46;2;Appartement;2
321;60,16;1;Appartement;3
322;56,67;1;Appartement;3
323;50,16;1;Appartement;2
324;26,39;1;Appartement;1
325;35,8;1;Appartement;2
326;20,15;1;Appartement;1
327;62,55;1;Appartement;2
328;23,7;1;Appartement;1
329;44,14;1;Appartement;2
330;59,19;1;Appartement;3
331;62,66;2;Appartement;3
332;56,15;1;Appartement;3
333;16,54;1;Appartement;1
334;65,52;2;Appartement;3
335;31;1;Appartement;2
336;61,23;1;Appartement;3
337;76,75;2;Appartement;3
338;16,3;1;Appartement;1
339;60,73;2;Appartement;4
340;81,25;1;Appartement;4
341;97,41;2;Maison;5
342;85,32;1;Appartement;4
343;45,94;1;Appartement;2
344;53,22;1;Maison;3
345;65,26;2;Appartement;3
346;91,43;2;Appartement;4
347;74,39;3;Maison;4
348;90,2;1;Appartement;3
349;76,75;2;Appartement;3
350;41,31;2;Appartement;2
351;61,37;1;Appartement;2
352;75,95;2;Appartement;4
353;36,98;1;Appartement;2
354;51,77;2;Maison;3
355;62,88;1;Maison;1
356;67,98;1;Appartement;2
357;53,25;3;Appartement;2
358;60,7;1;Appartement;3
359;70,03;2;Appartement;4
360;44,39;1;Appartement;2
361;26,25;2;Appartement;1
362;71,08;1;Appartement;3
363;21,62;1;Appartement;1
364;39,78;1;Appartement;2
365;59,19;1;Appartement;2
366;31,79;1;Appartement;1
367;43,85;1;Appartement;2
368;58,53;1;Appartement;3
369;38,01;1;Appartement;2
370;43,84;1;Appartement;2
371;64,45;1;Appartement;4
372;87,68;2;Maison;4
373;54,68;1;Appartement;2
374;60,77;1;Appartement;3
375;104,11;1;Maison;4
376;56,02;2;Appartement;3
377;28,17;1;Appartement;3
378;49,13;1;Appartement;1
379;51,01;1;Appartement;2
380;20,92;1;Appartement;1
381;30,84;1;Appartement;2
382;16,7;2;Appartement;2
383;47,17;2;Appartement;2
384;27,37;1;Appartement;2
385;26,43;1;Appartement;1
386;34,6;1;Appartement;2
387;27,01;2;Appartement;1
388;29,5;1;Appartement;1
389;110,09;2;Appartement;5
390;165,15;2;Appartement;5
391;78,83;4;Appartement;3
392;48,96;3;Appartement;2
393;36,47;1;Appartement;2
394;49,6;1;Appartement;2
395;69,08;2;Appartement;3
396;50,78;1;Appartement;3
397;18,21;1;Appartement;1
398;130,65;2;Appartement;5
399;53,8;1;Appartement;3
400;31,48;2;Appartement;2
401;26,98;1;Appartement;2
402;64,38;1;Appartement;3
403;48,65;1;Appartement;2
404;47,03;2;Appartement;2
405;52,28;1;Appartement;3
406;77,97;2;Appartement;4
407;54,56;2;Appartement;3
408;10,8;1;Appartement;1
409;55,63;2;Appartement;3
410;360,95;1;Appartement;8
411;30,02;1;Appartement;1
412;50,22;1;Appartement;2
413;28,35;3;Appartement;1
414;48,88;2;Appartement;3
415;131,25;6;Appartement;7
416;39,34;1;Appartement;3
417;22,84;1;Appartement;1
418;83,25;2;Appartement;4
419;13,15;1;Appartement;1
420;46,01;2;Appartement;2
421;39,6;1;Appartement;2
422;45,45;1;Appartement;2
423;60,7;1;Appartement;3
424;55,2;1;Appartement;3
425;100,8;2;Appartement;5
426;25,45;2;Appartement;1
427;40,35;1;Appartement;1
428;99,42;2;Appartement;4
429;118,56;1;Maison;5
430;66,42;2;Appartement;3
431;75,16;2;Appartement;3
432;56,83;2;Appartement;3
433;27,01;2;Appartement;1
434;111;2;Appartement;5
435;52,53;2;Appartement;2
436;55,03;1;Appartement;4
437;88,78;2;Appartement;5
438;17,78;1;Appartement;1
439;98,99;1;Maison;5
440;19,97;1;Appartement;1
441;87,02;1;Maison;4
442;48,4;1;Appartement;2
443;25,29;1;Appartement;1
444;68,46;2;Appartement;3
445;57,68;1;Appartement;3
