Com_code;regrgp_nom;reg_nom;com_nom_maj_court
01102;Province;Auvergne-Rhône-Alpes;CHEVROUX
01103;Province;Auvergne-Rhône-Alpes;CHEVRY
01104;Province;Auvergne-Rhône-Alpes;CHEZERY FORENS
01105;Province;Auvergne-Rhône-Alpes;CIVRIEUX
01106;Province;Auvergne-Rhône-Alpes;CIZE
01107;Province;Auvergne-Rhône-Alpes;CLEYZIEU
01108;Province;Auvergne-Rhône-Alpes;COLIGNY
01109;Province;Auvergne-Rhône-Alpes;COLLONGES
01110;Province;Auvergne-Rhône-Alpes;COLOMIEU
01111;Province;Auvergne-Rhône-Alpes;CONAND
01112;Province;Auvergne-Rhône-Alpes;CONDAMINE
01113;Province;Auvergne-Rhône-Alpes;CONDEISSIAT
01114;Province;Auvergne-Rhône-Alpes;CONFORT
01115;Province;Auvergne-Rhône-Alpes;CONFRANCON
01116;Province;Auvergne-Rhône-Alpes;CONTREVOZ
01117;Province;Auvergne-Rhône-Alpes;CONZIEU
01118;Province;Auvergne-Rhône-Alpes;CORBONOD
01119;Province;Auvergne-Rhône-Alpes;CORCELLES
01120;Province;Auvergne-Rhône-Alpes;CORDIEUX
01121;Province;Auvergne-Rhône-Alpes;CORLIER
01122;Province;Auvergne-Rhône-Alpes;CORMARANCHE EN BUGEY
01123;Province;Auvergne-Rhône-Alpes;CORMORANCHE SUR SAONE
01124;Province;Auvergne-Rhône-Alpes;CORMOZ
01125;Province;Auvergne-Rhône-Alpes;CORVEISSIAT
01126;Province;Auvergne-Rhône-Alpes;COUPY
01127;Province;Auvergne-Rhône-Alpes;COURMANGOUX
01128;Province;Auvergne-Rhône-Alpes;COURTES
01129;Province;Auvergne-Rhône-Alpes;CRANS
01130;Province;Auvergne-Rhône-Alpes;CRAS SUR REYSSOUZE
01131;Province;Auvergne-Rhône-Alpes;CRAZ
01132;Province;Auvergne-Rhône-Alpes;CREPIEUX LA PAPE
01133;Province;Auvergne-Rhône-Alpes;CRESSIN ROCHEFORT
01134;Province;Auvergne-Rhône-Alpes;CROTTET
01135;Province;Auvergne-Rhône-Alpes;CROZET
01136;Province;Auvergne-Rhône-Alpes;CRUZILLES LES MEPILLAT
01137;Province;Auvergne-Rhône-Alpes;CUISIAT
01138;Province;Auvergne-Rhône-Alpes;CULOZ
01139;Province;Auvergne-Rhône-Alpes;CURCIAT DONGALON
01140;Province;Auvergne-Rhône-Alpes;CURTAFOND
01141;Province;Auvergne-Rhône-Alpes;CUZIEU
01142;Province;Auvergne-Rhône-Alpes;DAGNEUX
01143;Province;Auvergne-Rhône-Alpes;DIVONNE LES BAINS
01144;Province;Auvergne-Rhône-Alpes;DOMMARTIN
01145;Province;Auvergne-Rhône-Alpes;DOMPIERRE SUR VEYLE
01146;Province;Auvergne-Rhône-Alpes;DOMPIERRE SUR CHALARONNE
01147;Province;Auvergne-Rhône-Alpes;DOMSURE
01148;Province;Auvergne-Rhône-Alpes;DORTAN
01149;Province;Auvergne-Rhône-Alpes;DOUVRES
01150;Province;Auvergne-Rhône-Alpes;DROM
01151;Province;Auvergne-Rhône-Alpes;DRUILLAT
01152;Province;Auvergne-Rhône-Alpes;ECHALLON
01153;Province;Auvergne-Rhône-Alpes;ECHENEVEX
01154;Province;Auvergne-Rhône-Alpes;ETREZ
01155;Province;Auvergne-Rhône-Alpes;EVOSGES
01156;Province;Auvergne-Rhône-Alpes;FARAMANS
01157;Province;Auvergne-Rhône-Alpes;FAREINS
01158;Province;Auvergne-Rhône-Alpes;FARGES
01159;Province;Auvergne-Rhône-Alpes;FEILLENS
01160;Province;Auvergne-Rhône-Alpes;FERNEY VOLTAIRE
01161;Province;Auvergne-Rhône-Alpes;FITIGNIEU
01162;Province;Auvergne-Rhône-Alpes;FLAXIEU
01163;Province;Auvergne-Rhône-Alpes;FOISSIAT
01164;Province;Auvergne-Rhône-Alpes;FORENS
