Codedep_com;COM;PTOT;
01274;Les Neyrolles;660;
01275;Neyron;2619;
01276;Niévroz;1651;
01277;Nivollet-Montgriffon;119;
01279;Oncieu;86;
01280;Ordonnaz;139;
01281;Ornex;4653;
01282;Outriaz;264;
01283;Oyonnax;22935;
01284;Ozan;707;
01285;Parcieux;1259;
01286;Parves et Nattages;989;
01288;Péron;2772;
01289;Péronnas;6811;
01290;Pérouges;1305;
01291;Perrex;849;
01293;Peyriat;152;
01294;Peyrieu;902;
01295;Peyzieux-sur-Saône;699;
01296;Pirajoux;428;
01297;Pizay;882;
01298;Plagne;152;
01299;Le Plantay;592;
01301;Polliat;2608;
01302;Pollieu;168;
01303;Poncin;1735;
01304;Pont-d'Ain;2977;
01305;Pont-de-Vaux;2256;
01306;Pont-de-Veyle;1705;
01307;Port;857;
01308;Pougny;821;
01309;Pouillat;85;
01310;Prémeyzel;255;
01311;Prémillieu;44;
01313;Prévessin-MoÃ«ns;8950;
01314;Priay;1762;
01317;Ramasse;336;
01318;Rancé;743;
01319;Relevant;475;
01320;Replonges;3882;
01321;Revonnas;917;
01322;Reyrieux;5124;
01323;Reyssouze;1003;
01325;Rignieux-le-Franc;1050;
01328;Romans;601;
01329;Rossillon;159;
01330;Ruffieu;188;
01331;Saint-Alban;187;
01332;Saint-André-de-Bâgé;802;
01333;Saint-André-de-Corcy;3428;
01334;Saint-André-d'Huiriat;667;
01335;Saint-André-le-Bouchoux;408;
01336;Saint-André-sur-Vieux-Jonc;1196;
01337;Saint-Bénigne;1338;
01338;Groslée-Saint-Benoit;1264;
01339;Saint-Bernard;1506;
01342;Sainte-Croix;565;
01343;Saint-Cyr-sur-Menthon;1834;
01344;Saint-Denis-lès-Bourg;6109;
01345;Saint-Denis-en-Bugey;2300;
01346;Saint-Didier-d'Aussiat;877;
01347;Saint-Didier-de-Formans;2098;
01348;Saint-Didier-sur-Chalaronne;3003;
01349;Saint-Eloi;508;
01350;Saint-Etienne-du-Bois;2582;
01351;Saint-Etienne-sur-Chalaronne;1597;
01352;Saint-Etienne-sur-Reyssouze;589;
01353;Sainte-Euphémie;1728;
01354;Saint-Genis-Pouilly;14143;
01355;Saint-Genis-sur-Menthon;493;
01356;Saint-Georges-sur-Renon;213;
01357;Saint-Germain-de-Joux;509;
01358;Saint-Germain-les-Paroisses;432;
01359;Saint-Germain-sur-Renon;249;
01360;Saint-Jean-de-Gonville;1943;
01361;Saint-Jean-de-Niost;1625;
01362;Saint-Jean-de-Thurigneux;801;
01363;Saint-Jean-le-Vieux;1842;
01364;Saint-Jean-sur-Reyssouze;763;
01365;Saint-Jean-sur-Veyle;1182;
01366;Sainte-Julie;1100;
01367;Saint-Julien-sur-Reyssouze;750;
01368;Saint-Julien-sur-Veyle;853;
01369;Saint-Just;967;
01370;Saint-Laurent-sur-Saône;1716;
01371;Saint-Marcel;1271;
01372;Saint-Martin-de-Bavel;449;
01373;Saint-Martin-du-Frêne;1053;
01374;Saint-Martin-du-Mont;1916;
01375;Saint-Martin-le-Châtel;802;
01376;Saint-Maurice-de-Beynost;4001;
01378;Saint-Maurice-de-Gourdans;2699;
01379;Saint-Maurice-de-Rémens;771;
01380;Saint-Nizier-le-Bouchoux;645;
01381;Saint-Nizier-le-Désert;939;
01382;Sainte-Olive;281;
01383;Saint-Paul-de-Varax;1583;
01384;Saint-Rambert-en-Bugey;2221;
01385;Saint-Rémy;1008;
01386;Saint-Sorlin-en-Bugey;1193;
01387;Saint-Sulpice;259;
01388;Saint-Trivier-de-Courtes;1111;
01389;Saint-Trivier-sur-Moignans;1877;
01390;Saint-Vulbas;1267;
01391;Salavre;279;
01392;Samognat;683;
01393;Sandrans;549;
01396;Sault-Brénaz;990;
01397;Sauverny;997;
01398;Savigneux;1438;
01399;Ségny;2158;
01400;Seillonnaz;142;
01401;Sergy;2238;
01402;Sermoyer;672;
01403;Serrières-de-Briord;1336;
01404;Serrières-sur-Ain;137;
01405;Servas;1309;
01406;Servignat;175;
01407;Seyssel;1020;
01408;Simandre-sur-Suran;673;
01410;Sonthonnax-la-Montagne;307;
01411;Souclin;279;
01412;Sulignat;607;
01415;Talissieu;505;
01416;Tenay;1025;
01418;Thil;1114;
01419;Thoiry;6197;
01420;Thoissey;1698;
01421;Torcieu;745;
01422;Tossiat;1391;
01423;Toussieux;1145;
01424;Tramoyes;1819;
01425;La Tranclière;295;
01426;Val-Revermont;2597;
01427;Trévoux;7084;
01428;Valeins;127;
01429;Vandeins;720;
01430;Varambon;631;
01431;Vaux-en-Bugey;1257;
01432;Verjon;325;
01433;Vernoux;317;
01434;Versailleux;482;
01435;Versonnex;2226;
01436;Vesancy;492;
01437;Vescours;228;
01439;Vésines;103;
01441;Vieu-d'Izenave;752;
01443;Villars-les-Dombes;5073;
01444;Villebois;1213;
01445;Villemotier;636;
01446;Villeneuve;1585;
01447;Villereversure;1374;
01448;Villes;397;
01449;Villette-sur-Ain;773;
01450;Villieu-Loyes-Mollon;3784;
01451;Viriat;6745;
01452;Virieu-le-Grand;1156;
01453;Arvière-en-Valromey;733;
01454;Virignin;1133;
01456;Vongnes;73;
01457;Vonnas;3240;
02001;Abbécourt;513;
02002;Achery;618;
02003;Acy;1045;
02004;Agnicourt-et-Séchelles;187;
02005;Aguilcourt;388;
02006;Aisonville-et-Bernoville;271;
02007;Aizelles;123;
02008;Aizy-Jouy;298;
02009;Alaincourt;540;
02010;Allemant;177;
02011;Ambleny;1192;
02012;Ambrief;71;
02013;Amifontaine;395;
02014;Amigny-Rouy;752;
02015;Ancienville;73;
02016;Andelain;225;
02017;Anguilcourt-le-Sart;327;
02018;Anizy-le-Grand;2627;
02019;Annois;367;
02020;Any-Martin-Rieux;463;
02021;Archon;87;
02022;Arcy-Sainte-Restitue;409;
02023;Armentières-sur-Ourcq;105;
02024;Arrancy;51;
02025;Artemps;369;
02027;Assis-sur-Serre;221;
02028;Athies-sous-Laon;2666;
02029;Attilly;366;
02030;Aubencheul-aux-Bois;261;
02031;Aubenton;667;
02032;Aubigny-aux-Kaisnes;257;
02033;Aubigny-en-Laonnois;106;
02034;Audignicourt;125;
02035;Audigny;289;
02036;Augy;73;
02037;Aulnois-sous-Laon;1416;
02038;Les Autels;59;
02039;Autremencourt;176;
02040;Autreppes;183;
02041;Autreville;822;
02042;Azy-sur-Marne;386;
02043;Bagneux;66;
02044;Bancigny;25;
02046;Barenton-Bugny;566;
02047;Barenton-Cel;113;
02048;Barenton-sur-Serre;137;
02049;Barisis-aux-Bois;752;
02050;Barzy-en-Thiérache;325;
02051;Barzy-sur-Marne;397;
02052;Bassoles-Aulers;141;
02053;Vallées en Champagne;577;
02054;Bazoches-sur-Vesles;465;
02055;Beaumé;90;
02056;Beaumont-en-Beine;180;
02057;Beaurevoir;1424;
02058;Beaurieux;866;
02059;Beautor;2742;
02060;Beauvois-en-Vermandois;264;
02061;Becquigny;253;
02062;Belleau;141;
02063;Bellenglise;386;
02064;Belleu;3885;
02065;Bellicourt;613;
02066;Benay;198;
02067;Bergues-sur-Sambre;215;
02068;Berlancourt;92;
02069;Berlise;107;
02070;Bernot;457;
02071;Berny-Rivière;673;
02072;Berrieux;188;
02073;Berry-au-Bac;674;
02074;Bertaucourt-Epourdon;603;
02075;Berthenicourt;197;
02076;Bertricourt;155;
02077;Berzy-le-Sec;388;
02078;Besmé;166;
02079;Besmont;149;
02080;Besny-et-Loizy;342;
02081;Béthancourt-en-Vaux;442;
02082;Beugneux;110;
02083;Beuvardes;765;
02084;Bézu-le-Guéry;262;
02085;Bézu-Saint-Germain;1040;
02086;Bichancourt;1017;
02087;Bieuxy;35;
02088;Bièvres;95;
02089;Billy-sur-Aisne;1169;
02090;Billy-sur-Ourcq;217;
02091;Blanzy-lès-Fismes;96;
02093;Blérancourt;1357;
02094;Blesmes;473;
02095;Bohain-en-Vermandois;5764;
02096;Bois-lès-Pargny;200;
02097;Boncourt;258;
02098;Bonneil;393;
02099;Bonnesvalyn;226;
02100;Bony;138;
02101;Bosmont-sur-Serre;197;
02102;Bouconville-Vauclair;197;
02103;Boué;1355;
02104;Bouffignereux;103;
02105;Bouresches;198;
02106;Bourg-et-Comin;822;
02107;Bourguignon-sous-Coucy;111;
02108;Bourguignon-sous-Montbavin;163;
02109;La Bouteille;485;
02110;Braine;2260;
02111;Brancourt-en-Laonnois;732;
02112;Brancourt-le-Grand;566;
02114;Brasles;1600;
02115;Braye-en-Laonnois;196;
02116;Braye-en-Thiérache;148;
02117;Bray-Saint-Christophe;68;
02118;Braye;131;
02119;Brécy;333;
02120;Brenelle;202;
02121;Breny;244;
02122;Brie;55;
02123;Brissay-Choigny;306;
02124;Brissy-Hamégicourt;661;
02125;Brumetz;204;
02126;Brunehamel;460;
02127;Bruyères-sur-Fère;197;
02128;Bruyères-et-Montbérault;1522;
02129;Bruys;18;
02130;Bucilly;201;
02131;Bucy-le-Long;1903;
02132;Bucy-lès-Cerny;197;
02133;Bucy-lès-Pierrepont;413;
02134;Buire;880;
02135;Buironfosse;1174;
02136;Burelles;131;
02137;Bussiares;160;
02138;Buzancy;203;
02139;CaillouÃ«l-Crépigny;447;
02140;Camelin;463;
02141;La Capelle;1857;
02142;Castres;258;
02143;Le Catelet;191;
02144;Caulaincourt;147;
02145;Caumont;555;
02146;Celles-lès-Condé;95;
02148;Celles-sur-Aisne;257;
02149;Cerizy;64;
02150;Cerny-en-Laonnois;63;
02151;Cerny-lès-Bucy;119;
02152;Cerseuil;89;
02153;Cessières-Suzy;784;
02154;Chacrise;372;
02155;Chaillevois;171;
02156;Chalandry;258;
02157;Chambry;859;
02158;Chamouille;275;
02159;Champs;297;
02160;Chaourse;556;
02162;La Chapelle-sur-Chézy;299;
02163;Charly-sur-Marne;2627;
02164;Le Charmel;332;
02165;Charmes;1680;
02166;Chartèves;365;
02167;Chassemy;904;
02168;Château-Thierry;15616;
02169;Châtillon-lès-Sons;84;
02170;Châtillon-sur-Oise;125;
02171;Chaudardes;89;
02172;Chaudun;261;
02173;Chauny;12072;
02174;Chavignon;845;
02175;Chavigny;165;
02176;Chavonne;209;
02177;Chérêt;141;
02178;Chermizy-Ailles;108;
02179;Chéry-Chartreuve;393;
02180;Chéry-lès-Pouilly;735;
02181;Chéry-lès-Rozoy;80;
02182;Chevennes;120;
02183;Chevregny;186;
02184;Chevresis-Monceau;356;
02185;Chézy-en-Orxois;405;
02186;Chézy-sur-Marne;1396;
02187;Chierry;1149;
02188;Chigny;151;
02189;Chivres-en-Laonnois;358;
02190;Chivres-Val;530;
02191;Chivy-lès-Etouvelles;528;
02192;Chouy;378;
02193;Cierges;66;
02194;Cilly;194;
02195;Ciry-Salsogne;935;
02196;Clacy-et-Thierret;318;
02197;Clairfontaine;637;
02198;Clamecy;230;
02199;Clastres;609;
02200;Clermont-les-Fermes;107;
02201;CÅ“uvres-et-Valsery;447;
02203;Coincy;1302;
02204;Coingt;67;
02205;Colligis-Crandelain;232;
02206;Colonfay;79;
02207;Commenchon;219;
02208;Concevreux;273;
02209;Condé-en-Brie;719;
02210;Condé-sur-Aisne;370;
02211;Condé-sur-Suippe;297;
02212;Condren;719;
02213;Connigis;345;
02214;Contescourt;62;
02215;Corbeny;847;
02216;Corcy;298;
02217;Coucy-le-Château-Auffrique;1001;
02218;Coucy-lès-Eppes;640;
02219;Coucy-la-Ville;272;
02220;Coulonges-Cohan;451;
02221;Coupru;156;
02222;Courbes;32;
02223;Courboin;313;
02224;Courcelles-sur-Vesle;350;
02225;Courchamps;86;
02226;Courmelles;1893;
02227;Courmont;121;
02228;Courtemont-Varennes;345;
02229;Courtrizy-et-Fussigny;71;
02230;Couvrelles;192;
02231;Couvron-et-Aumencourt;950;
02232;Coyolles;372;
02233;Cramaille;153;
02234;Craonne;84;
02235;Craonnelle;118;
02236;Crécy-au-Mont;333;
02237;Crécy-sur-Serre;1518;
02238;Crépy;1847;
02239;Crézancy;1329;
02240;Croix-Fonsomme;221;
02241;La Croix-sur-Ourcq;99;
02242;Crouttes-sur-Marne;652;
