Codedep_com;COM;PTOT;
11327;Roullens;485;
11328;Routier;244;
11330;Rustiques;518;
11331;Saint-Amans;64;
11332;Saint-André-de-Roquelongue;1385;
11333;Saint-Benoît;110;
11334;Sainte-Camelle;119;
11335;Sainte-Colombe-sur-Guette;45;
11336;Sainte-Colombe-sur-l'Hers;443;
11337;Saint-Couat-d'Aude;391;
11338;Saint-Couat-du-Razès;42;
11339;Saint-Denis;516;
11340;Sainte-Eulalie;535;
11341;Saint-Ferriol;114;
11342;Saint-Frichoux;246;
11343;Saint-Gaudéric;122;
11344;Saint-Hilaire;729;
11345;Saint-Jean-de-Barrou;262;
11346;Saint-Jean-de-Paracol;130;
11347;Saint-Julia-de-Bec;106;
11348;Saint-Julien-de-Briola;89;
11350;Saint-Just-et-le-Bézu;54;
11351;Saint-Laurent-de-la-Cabrerisse;750;
11352;Saint-Louis-et-Parahou;53;
11353;Saint-Marcel-sur-Aude;2066;
11354;Saint-Martin-des-Puits;27;
11355;Saint-Martin-de-Villereglan;369;
11356;Saint-Martin-Lalande;1141;
11357;Saint-Martin-le-Vieil;224;
11358;Saint-Martin-Lys;26;
11359;Saint-Michel-de-Lanès;481;
11360;Saint-Nazaire-d'Aude;2104;
11361;Saint-Papoul;903;
11362;Saint-Paulet;205;
11363;Saint-Pierre-des-Champs;187;
11364;Saint-Polycarpe;145;
11365;Saint-Sernin;43;
11366;Sainte-Valière;547;
11367;Saissac;945;
11368;Sallèles-Cabardès;122;
11369;Sallèles-d'Aude;3067;
11370;Salles-d'Aude;3330;
11371;Salles-sur-l'Hers;720;
11372;Salsigne;384;
11373;Salvezines;73;
11374;Salza;16;
11375;Seignalens;31;
11376;La Serpent;99;
11377;Serres;76;
11378;Serviès-en-Val;209;
11379;Sigean;5629;
11380;Sonnac-sur-l'Hers;133;
11381;Sougraigne;129;
11382;Souilhanels;420;
11383;Souilhe;334;
11384;Soulatgé;126;
11385;Soupex;243;
11386;Talairan;490;
11387;Taurize;112;
11388;Termes;47;
11389;Terroles;16;
11390;Thézan-des-Corbières;566;
11391;La Tourette-Cabardès;26;
11392;Tournissan;274;
11393;Tourouzelle;494;
11394;Tourreilles;131;
11395;Trassanel;30;
11396;Trausse;600;
11397;Trèbes;5630;
11398;Treilles;260;
11399;Tréville;111;
11400;Tréziers;104;
11401;Tuchan;804;
11402;Valmigère;23;
11404;Ventenac-Cabardès;989;
11405;Ventenac-en-Minervois;584;
11406;Véraza;35;
11407;Verdun-en-Lauragais;286;
11408;Verzeille;512;
11409;Vignevieille;106;
11410;Villalier;1003;
11411;Villanière;136;
11412;Villardebelle;55;
11413;Villardonnel;514;
11414;Villar-en-Val;25;
11415;Villar-Saint-Anselme;124;
11416;Villarzel-Cabardès;254;
11417;Villarzel-du-Razès;98;
11418;Villasavary;1250;
11419;Villautou;63;
11420;Villebazy;138;
11421;Villedaigne;542;
11422;Villedubert;363;
11423;Villefloure;163;
11424;Villefort;86;
11425;Villegailhenc;1738;
11426;Villegly;1200;
11427;Villelongue-d'Aude;310;
11428;Villemagne;259;
11429;Villemoustaussou;4549;
11430;Villeneuve-la-Comptal;1401;
11431;Villeneuve-les-Corbières;255;
11432;Villeneuve-lès-Montréal;332;
11433;Villeneuve-Minervois;993;
11434;Villepinte;1301;
11435;Villerouge-Termenès;160;
11436;Villesèque-des-Corbières;372;
11437;Villesèquelande;928;
11438;Villesiscle;394;
11439;Villespy;408;
11440;Villetritouls;38;
11441;Vinassan;2711;
12001;Agen-d'Aveyron;1101;
12002;Aguessac;898;
12003;Les Albres;350;
12004;Almont-les-Junies;465;
12006;Alrance;362;
12007;Ambeyrac;184;
12008;Anglars-Saint-Félix;904;
12009;Arnac-sur-Dourdou;37;
12010;Arques;155;
12011;Arvieu;803;
12012;Asprières;755;
12013;Aubin;3854;
12015;Auriac-Lagast;231;
12016;Auzits;850;
12017;Ayssènes;221;
12018;Balaguier-d'Olt;188;
12019;Balaguier-sur-Rance;93;
12021;Le Bas Ségala;1613;
12022;La Bastide-Pradines;109;
12023;La Bastide-Solages;107;
12024;Belcastel;198;
12025;Belmont-sur-Rance;984;
12026;Bertholène;1074;
12027;Bessuéjouls;212;
12028;Boisse-Penchot;527;
12029;Bor-et-Bar;205;
12030;Bouillac;394;
12031;Bournazel;361;
12032;Boussac;609;
12033;Bozouls;2989;
12034;Brandonnet;310;
12035;Brasc;180;
12036;Brommat;645;
12037;Broquiès;624;
12038;Brousse-le-Château;168;
12039;Brusque;269;
12041;Cabanès;270;
12042;Calmels-et-le-Viala;219;
12043;Calmont;2242;
12044;Camarès;1060;
12045;Camboulazet;400;
12046;Camjac;589;
12047;Campagnac;457;
12048;Campouriez;354;
12049;Campuac;461;
12050;Canet-de-Salars;454;
12051;Cantoin;312;
12052;Capdenac-Gare;4534;
12053;La Capelle-Balaguier;333;
12054;La Capelle-Bleys;359;
12055;La Capelle-Bonance;83;
12056;Baraqueville;3234;
12057;Cassagnes-Bégonhès;959;
12058;Cassuéjouls;111;
12059;Castanet;541;
12060;Castelmary;118;
12061;Castelnau-de-Mandailles;586;
12062;Castelnau-Pégayrols;346;
12063;La Cavalerie;1968;
12064;Le Cayrol;274;
12065;Centrès;475;
12066;Clairvaux-d'Aveyron;1176;
12067;Le Clapier;76;
12068;Colombiès;904;
12069;Combret;272;
12070;Compeyre;548;
12071;Compolibat;341;
12072;Comprégnac;239;
12073;Comps-la-Grand-Ville;644;
12074;Condom-d'Aubrac;309;
12075;Connac;108;
12076;Conques-en-Rouergue;1672;
12077;Cornus;525;
12078;Les Costes-Gozon;187;
12079;Coubisou;509;
12080;Coupiac;382;
12082;La Couvertoirade;191;
12083;Cransac;1525;
12084;Creissels;1626;
12085;Crespin;315;
12086;La Cresse;340;
12088;Curières;232;
12089;Decazeville;5529;
12090;Druelle Balsac;3299;
12091;Drulhe;466;
12092;Durenque;533;
12093;Le Fel;177;
12094;Entraygues-sur-Truyère;1002;
12095;Escandolières;246;
12096;Espalion;4750;
12097;Espeyrac;251;
12098;Estaing;482;
12099;Fayet;245;
12100;Firmi;2439;
12101;Flagnac;1107;
12102;Flavin;2410;
12103;Florentin-la-Capelle;290;
12104;Foissac;498;
12105;La Fouillade;1133;
12106;Gabriac;545;
12107;Gaillac-d'Aveyron;323;
12108;Galgan;380;
12109;Gissac;101;
12110;Golinhac;341;
12111;Goutrens;513;
12113;Gramond;513;
12115;L'Hospitalet-du-Larzac;293;
12116;Huparlac;274;
12118;Lacroix-Barrez;535;
12119;Laguiole;1262;
12120;Laissac-Sévérac l'Eglise;2251;
12121;Lanuéjouls;739;
12122;Lapanouse-de-Cernon;132;
12124;Lassouts;315;
12125;Laval-Roquecezière;282;
12127;Lédergues;656;
12128;Lescure-Jaoul;226;
12129;Lestrade-et-Thouels;477;
12130;Livinhac-le-Haut;1159;
12131;La Loubière;1559;
12133;Luc-la-Primaube;6171;
12134;Lugan;357;
12135;Lunac;455;
12136;Maleville;955;
12137;Manhac;849;
12138;Marcillac-Vallon;1779;
12139;Marnhagues-et-Latour;140;
12140;Martiel;1012;
12141;Martrin;229;
12142;Mayran;652;
12143;Mélagues;62;
12144;Meljac;127;
12145;Millau;22659;
12146;Le Monastère;2361;
12147;Montagnol;139;
12148;Montbazens;1446;
12149;Montclar;159;
12150;Monteils;591;
12151;Montézic;222;
12152;Montfranc;129;
12153;Montjaux;428;
12154;Montlaur;645;
12155;Fondamente;343;
12156;Montpeyroux;545;
12157;Montrozier;1742;
12158;Montsalès;335;
12159;Morlhon-le-Haut;585;
12160;Mostuéjouls;322;
12161;Mouret;560;
12162;Moyrazès;1108;
12163;Murasson;214;
12164;Mur-de-Barrez;715;
12165;Muret-le-Château;379;
12166;Murols;116;
12167;Najac;721;
12168;Nant;1016;
12169;Naucelle;2153;
12170;Naussac;378;
12171;Nauviale;603;
12172;Le Nayrac;542;
12174;Olemps;3538;
12175;Ols-et-Rinhodes;180;
12176;Onet-le-Château;12259;
12177;Palmas d'Aveyron;1032;
12178;Paulhe;382;
12179;Peux-et-Couffouleux;85;
12180;Peyreleau;75;
12181;Peyrusse-le-Roc;219;
12182;Pierrefiche;284;
12183;Plaisance;224;
12184;Pomayrols;126;
12185;Pont-de-Salars;1707;
12186;Pousthomy;213;
12187;Prades-d'Aubrac;358;
12188;Prades-Salars;326;
12189;Pradinas;360;
12190;Prévinquières;304;
12191;Privezac;331;
12192;Mounes-Prohencoux;189;
12193;Pruines;299;
12194;Quins;869;
12195;Rebourguil;277;
12197;Réquista;2061;
12198;Rieupeyroux;2021;
12199;Rignac;2133;
12200;Rivière-sur-Tarn;1066;
12201;Rodelle;1112;
12202;Rodez;26410;
12203;Roquefort-sur-Soulzon;569;
12204;La Roque-Sainte-Marguerite;182;
12205;La Rouquette;791;
12206;Roussennac;652;
12207;Rullac-Saint-Cirq;359;
12208;Saint-Affrique;8658;
12209;Saint-Amans-des-Cots;762;
12210;Saint-André-de-Najac;459;
12211;Saint-André-de-Vézines;135;
12212;Saint-Beaulize;95;
12213;Saint-Beauzély;631;
12214;Saint-Chély-d'Aubrac;534;
12215;Saint-Christophe-Vallon;1208;
12216;Saint-Côme-d'Olt;1437;
12217;Sainte-Croix;763;
12219;Sainte-Eulalie-d'Olt;385;
12220;Sainte-Eulalie-de-Cernon;290;
12221;Saint-Félix-de-Lunel;349;
12222;Saint-Félix-de-Sorgues;199;
12223;Argences en Aubrac;1638;
12224;Saint Geniez d'Olt et d'Aubrac;2251;
12225;Saint-Georges-de-Luzençon;1661;
12226;Saint-Hippolyte;440;
12227;Saint-Igest;187;
12228;Saint-Izaire;311;
12229;Saint-Jean-d'Alcapiès;261;
12230;Saint-Jean-Delnous;419;
12231;Saint-Jean-du-Bruel;723;
12232;Saint-Jean-et-Saint-Paul;287;
12233;Saint-Juéry;296;
12234;Sainte-Juliette-sur-Viaur;621;
12235;Saint-Just-sur-Viaur;213;
12236;Saint-Laurent-de-Lévézou;159;
12237;Saint-Laurent-d'Olt;726;
12238;Saint-Léons;430;
12239;Saint-Martin-de-Lenne;328;
12240;Saint-Parthem;413;
12241;Sainte-Radegonde;1816;
12242;Saint-Rémy;321;
12243;Saint-Rome-de-Cernon;961;
12244;Saint-Rome-de-Tarn;893;
12246;Saint-Santin;553;
12247;Saint-Saturnin-de-Lenne;291;
12248;Saint-Sernin-sur-Rance;715;
12249;Saint-Sever-du-Moustier;202;
12250;Saint-Symphorien-de-Thénières;207;
12251;Saint-Victor-et-Melvieu;343;
12252;Salles-Courbatiès;427;
12253;Salles-Curan;1043;
12254;Salles-la-Source;2340;
12255;Salmiech;794;
12256;Salvagnac-Cajarc;381;
12257;Causse-et-Diège;806;
12258;La Salvetat-Peyralès;997;
12259;Sanvensa;665;
12260;Sauclières;173;
12261;Saujac;126;
12262;Sauveterre-de-Rouergue;725;
12263;Savignac;755;
12264;Sébazac-Concourès;3348;
12265;Sébrazac;535;
12266;Ségur;553;
12267;La Selve;639;
12268;Sénergues;439;
12269;La Serre;129;
12270;Sévérac d'Aveyron;4191;
12272;Sonnac;532;
12273;Soulages-Bonneval;299;
12274;Sylvanès;114;
12275;Tauriac-de-Camarès;37;
12276;Tauriac-de-Naucelle;375;
12277;Taussac;534;
12278;Tayrac;185;
12280;Thérondels;413;
12281;Toulonjac;762;
12282;Tournemire;433;
12283;Trémouilles;500;
12284;Le Truel;346;
12286;Vabres-l'Abbaye;1237;
12287;Vailhourles;658;
12288;Valady;1631;
12289;Valzergues;214;
12290;Vaureilles;499;
12291;Verrières;412;
12292;Versols-et-Lapeyre;431;
12293;Veyreau;138;
12294;Vézins-de-Lévézou;674;
12295;Viala-du-Pas-de-Jaux;100;
12296;Viala-du-Tarn;542;
12297;Le Vibal;529;
12298;Villecomtal;423;
12299;Villefranche-de-Panat;718;
12300;Villefranche-de-Rouergue;12153;
12301;Villeneuve;2034;
12303;Vimenet;254;
12305;Viviez;1265;
12307;Curan;310;
13001;Aix-en-Provence;148336;
13002;Allauch;21597;
13003;Alleins;2680;
13004;Arles;51243;
13005;Aubagne;47986;
13006;Aureille;1571;
13007;Auriol;13084;
13008;Aurons;579;
13009;La Barben;861;
13010;Barbentane;4354;
13011;Les Baux-de-Provence;349;
13012;Beaurecueil;648;
13013;Belcodène;1951;
13014;Berre-l'Etang;13737;
13015;Bouc-Bel-Air;15143;
13016;La Bouilladisse;6353;
13017;Boulbon;1527;
13018;Cabannes;4498;
13019;Cabriès;10242;
13020;Cadolive;2212;
13021;Carry-le-Rouet;5817;
13022;Cassis;7013;
13023;Ceyreste;4838;
13024;Charleval;2705;
13025;Châteauneuf-le-Rouge;2456;
13026;Châteauneuf-les-Martigues;17667;
13027;Châteaurenard;16315;
13028;La Ciotat;36374;
13029;Cornillon-Confoux;1460;
13030;Cuges-les-Pins;5299;
13031;La Destrousse;3812;
13032;Eguilles;8173;
13033;Ensuès-la-Redonne;5882;
13034;Eygalières;1768;
13035;Eyguières;7005;
13036;Eyragues;4624;
13037;La Fare-les-Oliviers;8848;
13038;Fontvieille;3615;
13039;Fos-sur-Mer;15870;
13040;Fuveau;10349;
13041;Gardanne;21859;
13042;Gémenos;6763;
13043;Gignac-la-Nerthe;9977;
13044;Grans;5280;
13045;Graveson;4929;
13046;Gréasque;4349;
13047;Istres;44283;
13048;Jouques;4504;
13049;Lamanon;2078;
13050;Lambesc;10175;
13051;Lançon-Provence;9061;
13052;Maillane;2700;
13053;Mallemort;6290;
13054;Marignane;32612;
13056;Martigues;49090;
13057;Mas-Blanc-des-Alpilles;528;
13058;Maussane-les-Alpilles;2412;
13059;Meyrargues;3908;
13060;Meyreuil;5912;
13061;Saint-Pierre-de-Mézoargues;220;
13062;Mimet;4287;
13063;Miramas;26828;
13064;Mollégès;2685;
13065;Mouriès;3459;
13066;Noves;5915;
13067;Orgon;2855;
13068;Paradou;2146;
13069;Pélissanne;10754;
13070;La Penne-sur-Huveaune;6580;
13071;Les Pennes-Mirabeau;21910;
13072;Peynier;3634;
13073;Peypin;5676;
13074;Peyrolles-en-Provence;5223;
13075;Plan-de-Cuques;11752;
13076;Plan-d'Orgon;3564;
13077;Port-de-Bouc;16778;
13078;Port-Saint-Louis-du-Rhône;8504;
13079;Puyloubier;1886;
13080;Le Puy-Sainte-Réparade;5972;
13081;Rognac;12209;
13082;Rognes;4763;
13083;Rognonas;4116;
13084;La Roque-d'Anthéron;5546;
13085;Roquefort-la-Bédoule;6089;
13086;Roquevaire;8837;
13087;Rousset;5058;
13088;Le Rove;5193;
13089;Saint-Andiol;3397;
13090;Saint-Antonin-sur-Bayon;127;
13091;Saint-Cannat;5752;
13092;Saint-Chamas;8720;
13093;Saint-Estève-Janson;387;
13094;Saint-Etienne-du-Grès;2542;
13095;Saint-Marc-Jaumegarde;1304;
13096;Saintes-Maries-de-la-Mer;2165;
13097;Saint-Martin-de-Crau;13712;
13098;Saint-Mitre-les-Remparts;5930;
13099;Saint-Paul-lès-Durance;898;
13100;Saint-Rémy-de-Provence;9992;
13101;Saint-Savournin;3502;
13102;Saint-Victoret;6683;
13103;Salon-de-Provence;45970;
13104;Sausset-les-Pins;7725;
13105;Sénas;6980;
13106;Septèmes-les-Vallons;11291;
13107;Simiane-Collongue;5930;
13108;Tarascon;15953;
13109;Le Tholonet;2327;
13110;Trets;10453;
13111;Vauvenargues;1027;
13112;Velaux;8733;
13113;Venelles;8584;
13114;Ventabren;5544;
13115;Vernègues;2068;
13116;Verquières;836;
13117;Vitrolles;33701;
13118;Coudoux;3754;
13119;Carnoux-en-Provence;6582;
13201;Marseille 1er Arrondissement;40093;
13202;Marseille 2e Arrondissement;25275;
13203;Marseille 3e Arrondissement;51986;
13204;Marseille 4e Arrondissement;49599;
13205;Marseille 5e Arrondissement;46431;
13206;Marseille 6e Arrondissement;42541;
13207;Marseille 7e Arrondissement;35010;
13208;Marseille 8e Arrondissement;82690;
13209;Marseille 9e Arrondissement;77287;
13210;Marseille 10e Arrondissement;58831;
13211;Marseille 11e Arrondissement;57721;
13212;Marseille 12e Arrondissement;61958;
13213;Marseille 13e Arrondissement;92075;
13214;Marseille 14e Arrondissement;61954;
13215;Marseille 15e Arrondissement;77542;
13216;Marseille 16e Arrondissement;16102;
14001;Ablon;1257;
14003;Agy;311;
14005;Valambray;1761;
14006;Amayé-sur-Orne;1067;
14007;Amayé-sur-Seulles;235;
14009;Amfreville;1375;
14011;Aurseulles;1932;
14012;Angerville;193;
14014;Colomby-Anguerny;1240;
14015;Anisy;760;
14016;Annebault;498;
14019;Arganchy;222;
14020;Argences;3825;
14021;Arromanches-les-Bains;484;
14022;Asnelles;592;
14023;Asnières-en-Bessin;69;
14024;Auberville;603;
14025;Aubigny;311;
14026;Audrieu;1129;
14027;Les Monts d'Aunay;4662;
14030;Authie;1745;
14032;Les Authieux-sur-Calonne;286;
14033;Auvillars;218;
14034;Avenay;571;
14035;Balleroy-sur-Drôme;1431;
14036;Banneville-la-Campagne;173;
14037;Malherbe-sur-Ajon;578;
14038;Banville;798;
14039;Barbery;842;
14040;Barbeville;192;
14041;Barneville-la-Bertran;126;
14042;Baron-sur-Odon;996;
14043;Barou-en-Auge;70;
14044;Basly;1091;
14045;Basseneville;254;
14046;Bavent;1937;
14047;Bayeux;13011;
14049;Bazenville;141;
14050;La Bazoque;183;
14053;Beaumais;175;
14054;Beaumesnil;203;
14055;Beaumont-en-Auge;414;
14057;Bellengreville;1485;
14059;Benerville-sur-Mer;446;
14060;Bénouville;2068;
14061;Souleuvre en Bocage;9107;
14062;Bény-sur-Mer;454;
14063;Bernesq;215;
14064;Bernières-d'Ailly;231;
14066;Bernières-sur-Mer;2309;
14068;Biéville-Beuville;3646;
14069;Beuvillers;1365;
14070;Beuvron-en-Auge;196;
14076;Blainville-sur-Orne;5928;
14077;Blangy-le-Château;774;
14078;Blay;374;
14079;Blonville-sur-Mer;1588;
14080;Le Bô;129;
14082;La Boissière;198;
14083;Bonnebosq;681;
14084;Bonnemaison;412;
14085;Bonneville-la-Louvet;816;
14086;Bonneville-sur-Touques;338;
14087;BonnÅ“il;126;
14088;Bons-Tassilly;413;
14089;Bougy;403;
14090;Boulon;742;
14091;Bourgeauville;103;
14092;Bourguébus;2210;
14093;Branville;203;
14096;Brémoy;232;
14097;Bretteville-le-Rabet;309;
14098;Thue et Mue;6220;
14100;Bretteville-sur-Laize;1937;
14101;Bretteville-sur-Odon;4077;
14102;Le Breuil-en-Auge;1035;
14103;Le Breuil-en-Bessin;415;
14104;Le Brévedent;170;
14106;Bréville-les-Monts;666;
14107;Bricqueville;164;
14110;Brucourt;127;
14111;Bucéels;444;
14116;Le Bû-sur-Rouvres;114;
14117;Cabourg;3589;
14118;Caen;108404;
14119;Cagny;1987;
14120;Cahagnes;1419;
14121;Cahagnolles;253;
14122;La Caine;159;
14123;Cairon;2069;
14124;La Cambe;556;
14125;Cambes-en-Plaine;1802;
14126;Cambremer;1370;
14127;Campagnolles;552;
14130;Campigny;187;
14131;Canapville;232;
14132;Canchy;204;
14134;Canteloup;191;
14135;Carcagny;283;
14136;Cardonville;101;
14137;Carpiquet;2911;
14138;Cartigny-l'Epinay;298;
14140;Castillon;355;
14141;Castillon-en-Auge;165;
14143;Caumont-sur-Aure;2397;
14145;Cauvicourt;529;
14146;Cauville;173;
14147;Cernay;141;
14149;Cesny-aux-Vignes;435;
14150;Cesny-les-Sources;1365;
14159;Chouain;233;
14160;Cintheaux;194;
14161;Clarbec;358;
14162;Clécy;1320;
14163;Cléville;385;
14165;Colleville-sur-Mer;178;
14166;Colleville-Montgomery;2599;
14167;Colombelles;7028;
14168;Colombières;212;
14169;Colombiers-sur-Seulles;159;
14171;Combray;145;
14172;Commes;442;
14173;Condé-sur-Ifs;454;
14174;Condé-en-Normandie;6726;
14175;Condé-sur-Seulles;297;
14177;Coquainvilliers;865;
14179;Cordebugle;169;
14180;Cordey;159;
14181;Cormelles-le-Royal;5002;
14182;Cormolain;410;
14183;Cossesseville;104;
14184;Cottun;229;
14190;Courcy;133;
14191;Courseulles-sur-Mer;4250;
14193;Courtonne-la-Meurdrac;675;
14194;Courtonne-les-Deux-Eglises;658;
14195;Courvaudon;262;
14196;Crépon;214;
14197;Cresserons;1143;
14198;Cresseveuille;264;
14200;Creully sur Seulles;2340;
14202;CricquebÅ“uf;273;
14203;Cricqueville-en-Auge;199;
14204;Cricqueville-en-Bessin;181;
14205;Cristot;223;
14206;Crocy;298;
14207;Croisilles;655;
14209;Crouay;522;
14211;Culey-le-Patry;364;
14214;Cussy;192;
14215;Cuverville;2293;
14216;Damblainville;241;
14218;Danestal;409;
14220;Deauville;3625;
14221;Démouville;3162;
14223;Le Détroit;89;
14224;Deux-Jumeaux;51;
14225;Dives-sur-Mer;5445;
14226;Donnay;301;
14227;Douville-en-Auge;216;
14228;Douvres-la-Délivrande;5177;
14229;Dozulé;2315;
14230;Drubec;117;
14231;Beaufour-Druval;458;
14232;Ducy-Sainte-Marguerite;171;
14236;Ellon;592;
14237;Emiéville;625;
14238;Englesqueville-en-Auge;111;
14239;Englesqueville-la-Percée;107;
14240;Epaney;523;
14241;Epinay-sur-Odon;636;
14242;Epron;1647;
14243;Equemauville;1593;
14244;Eraines;323;
14245;Ernes;331;
14246;Escoville;813;
14248;Espins;255;
14249;Esquay-Notre-Dame;1441;
14250;Esquay-sur-Seulles;289;
14251;Esson;545;
14252;Estrées-la-Campagne;263;
14254;Eterville;1680;
14256;Etréham;341;
14257;Evrecy;2040;
14258;Falaise;8218;
14260;Fauguernon;252;
14261;Le Faulq;345;
14266;Feuguerolles-Bully;1462;
14269;Fierville-les-Parcs;230;
14270;Firfol;414;
14271;Fleury-sur-Orne;5007;
14272;La Folie;98;
14273;La Folletière-Abenon;137;
14274;Fontaine-Etoupefour;2681;
14275;Fontaine-Henry;470;
14276;Fontaine-le-Pin;359;
14277;Fontenay-le-Marmion;1954;
14278;Fontenay-le-Pesnel;1217;
14280;Formentin;265;
14281;Formigny La Bataille;749;
14282;Foulognes;214;
14283;Fourches;231;
14284;Fourneaux-le-Val;160;
14285;Le Fournet;73;
14286;Fourneville;504;
14287;Frénouville;1984;
14288;Le Fresne-Camilly;957;
14289;Fresné-la-Mère;597;
14290;Fresney-le-Puceux;820;
14291;Fresney-le-Vieux;293;
14293;Fumichon;280;
14297;Gavrus;591;
14298;Géfosse-Fontenay;138;
14299;Genneville;853;
14300;Gerrots;52;
14301;Giberville;4963;
14302;Glanville;180;
14303;Glos;939;
14304;Gonneville-sur-Honfleur;917;
14305;Gonneville-sur-Mer;691;
14306;Gonneville-en-Auge;395;
14308;Goustranville;268;
14309;Gouvix;844;
14310;Grainville-Langannerie;713;
14311;Grainville-sur-Odon;1054;
14312;Grandcamp-Maisy;1560;
14316;Grangues;268;
14318;Graye-sur-Mer;735;
14319;Grentheville;981;
14320;Grimbosq;290;
14322;Guéron;250;
14325;Hermanville-sur-Mer;3152;
14326;Hermival-les-Vaux;847;
14327;Hérouville-Saint-Clair;22830;
14328;Hérouvillette;1354;
14329;Heuland;113;
14332;La Hoguette;678;
14333;Honfleur;6933;
14334;L'Hôtellerie;322;
14335;Hotot-en-Auge;303;
14336;Hottot-les-Bagues;481;
14337;La Houblonnière;339;
14338;Houlgate;1748;
14341;Ifs;11889;
14342;Isigny-sur-Mer;3653;
14343;Les Isles-Bardel;66;
14344;Janville;388;
14345;Jort;303;
14346;Juaye-Mondaye;693;
14347;Dialan sur Chaîne;1053;
14348;Juvigny-sur-Seulles;82;
14349;Laize-Clinchamps;2137;
14352;Landelles-et-Coupigny;861;
14353;Landes-sur-Ajon;456;
14354;Langrune-sur-Mer;1982;
14355;Ponts sur Seulles;1211;
14357;Terres de Druance;932;
14358;Léaupartie;91;
14360;Leffard;218;
14362;Lessard-et-le-Chêne;160;
14364;Lingèvres;478;
14365;Lion-sur-Mer;2576;
14366;Lisieux;20692;
14367;Lison;442;
14368;Lisores;273;
14369;Litteau;291;
14370;Le Molay-Littry;3055;
14371;Livarot-Pays-d'Auge;6330;
14374;Les Loges;144;
14375;Les Loges-Saulces;169;
14377;Longues-sur-Mer;601;
14378;Longueville;283;
14379;Longvillers;369;
14380;Loucelles;191;
14381;Louvagny;63;
14383;Louvigny;2721;
14384;Luc-sur-Mer;3265;
14385;Magny-en-Bessin;173;
14389;Maisoncelles-Pelvey;272;
14390;Maisoncelles-sur-Ajon;193;
14391;Maisons;397;
14393;Maizet;373;
14394;Maizières;442;
14396;Maltot;1039;
14397;Mandeville-en-Bessin;341;
14398;Manerbe;563;
14399;Manneville-la-Pipard;286;
14400;Le Manoir;220;
14401;Manvieux;138;
14402;Le Marais-la-Chapelle;111;
14403;Marolles;766;
14404;Martainville;122;
14405;Martigny-sur-l'Ante;332;
14406;Moulins-en-Bessin;1143;
14407;Mathieu;2342;
14408;May-sur-Orne;2028;
14409;Merville-Franceville-Plage;2221;
14410;Méry-Bissières-en-Auge;1087;
14411;Meslay;315;
14412;Le Mesnil-au-Grain;85;
14419;Le Mesnil-Eudes;266;
14421;Le Mesnil-Guillaume;613;
14424;Le Mesnil-Robert;193;
14425;Le Mesnil-Simon;170;
14426;Le Mesnil-sur-Blangy;167;
14427;Le Mesnil-Villement;297;
14430;Meuvaines;140;
14431;Mézidon Vallée d'Auge;9699;
14435;Les Monceaux;201;
14436;Monceaux-en-Bessin;563;
14437;Mondeville;10217;
14438;Mondrainville;555;
14439;Monfréville;92;
14445;Montfiquet;97;
14446;Montigny;100;
14448;Montreuil-en-Auge;64;
14449;Monts-en-Bessin;413;
14452;Morteaux-CoulibÅ“uf;636;
14453;Mosles;359;
14454;Mouen;1648;
14455;Moulines;287;
14456;Moult-Chicheboville;3318;
14457;Les Moutiers-en-Auge;129;
14458;Les Moutiers-en-Cinglais;591;
14460;Moyaux;1384;
14461;Mutrécy;472;
14465;Nonant;514;
14466;Norolles;351;
14467;Noron-l'Abbaye;327;
14468;Noron-la-Poterie;369;
14469;Norrey-en-Auge;94;
14473;Notre-Dame-de-Livaye;115;
14474;Notre-Dame-d'Estrées-Corbon;204;
14475;Val d'Arry;2395;
14476;Olendon;181;
14478;Orbec;2017;
14480;Osmanville;528;
14482;Ouézy;240;
14483;Ouffières;194;
14484;Ouilly-du-Houley;249;
14486;Ouilly-le-Tesson;579;
14487;Ouilly-le-Vicomte;797;
14488;Ouistreham;9462;
14491;Parfouru-sur-Odon;207;
14492;Pennedepie;320;
14494;Périers-en-Auge;136;
14495;Périers-sur-le-Dan;559;
14496;Périgny;61;
14497;Perrières;340;
14498;Pertheville-Ners;244;
14499;Petiville;539;
14500;Pierrefitte-en-Auge;165;
14501;Pierrefitte-en-Cinglais;252;
14502;Pierrepont;90;
14504;Le Pin;834;
14506;Planquery;249;
14509;Plumetot;217;
14510;La Pommeraye;58;
14511;Pont-Bellanger;67;
14512;Pontécoulant;73;
14514;Pont-l'Evêque;4697;
14515;Port-en-Bessin-Huppain;1955;
14516;Potigny;2098;
14519;Préaux-Bocage;126;
14520;Le Pré-d'Auge;890;
14522;Prêtreville;398;
14524;Putot-en-Auge;299;
14527;Belle Vie en Auge;546;
14528;Quetteville;396;
14529;Ranchy;265;
14530;Ranville;1936;
14531;Rapilly;48;
14533;Repentigny;100;
14534;Reux;397;
14535;Reviers;566;
14536;La Rivière-Saint-Sauveur;2590;
14538;Castine-en-Plaine;1681;
14540;Rocques;303;
14541;La Roque-Baignard;122;
14542;Rosel;546;
14543;Rots;2519;
14546;Rouvres;224;
14547;Rubercy;161;
14550;Rumesnil;95;
14552;Ryes;519;
14554;Le Castelet;1669;
14555;Saint-André-d'Hébertot;458;
14556;Saint-André-sur-Orne;1845;
14557;Saint-Arnoult;1144;
14558;Saint-Aubin-d'Arquenay;1108;
14559;Saint-Aubin-des-Bois;230;
