Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01102;CHEVROUX;Province;Auvergne-Rhône-Alpes
01103;CHEVRY;Province;Auvergne-Rhône-Alpes
01104;CHEZERY FORENS;Province;Auvergne-Rhône-Alpes
01105;CIVRIEUX;Province;Auvergne-Rhône-Alpes
01106;CIZE;Province;Auvergne-Rhône-Alpes
01107;CLEYZIEU;Province;Auvergne-Rhône-Alpes
01108;COLIGNY;Province;Auvergne-Rhône-Alpes
01109;COLLONGES;Province;Auvergne-Rhône-Alpes
01110;COLOMIEU;Province;Auvergne-Rhône-Alpes
01111;CONAND;Province;Auvergne-Rhône-Alpes
01112;CONDAMINE;Province;Auvergne-Rhône-Alpes
01113;CONDEISSIAT;Province;Auvergne-Rhône-Alpes
01114;CONFORT;Province;Auvergne-Rhône-Alpes
01115;CONFRANCON;Province;Auvergne-Rhône-Alpes
01116;CONTREVOZ;Province;Auvergne-Rhône-Alpes
01117;CONZIEU;Province;Auvergne-Rhône-Alpes
01118;CORBONOD;Province;Auvergne-Rhône-Alpes
01119;CORCELLES;Province;Auvergne-Rhône-Alpes
01120;CORDIEUX;Province;Auvergne-Rhône-Alpes
01121;CORLIER;Province;Auvergne-Rhône-Alpes
01122;CORMARANCHE EN BUGEY;Province;Auvergne-Rhône-Alpes
01123;CORMORANCHE SUR SAONE;Province;Auvergne-Rhône-Alpes
01124;CORMOZ;Province;Auvergne-Rhône-Alpes
01125;CORVEISSIAT;Province;Auvergne-Rhône-Alpes
01126;COUPY;Province;Auvergne-Rhône-Alpes
01127;COURMANGOUX;Province;Auvergne-Rhône-Alpes
01128;COURTES;Province;Auvergne-Rhône-Alpes
01129;CRANS;Province;Auvergne-Rhône-Alpes
01130;CRAS SUR REYSSOUZE;Province;Auvergne-Rhône-Alpes
01131;CRAZ;Province;Auvergne-Rhône-Alpes
01132;CREPIEUX LA PAPE;Province;Auvergne-Rhône-Alpes
01133;CRESSIN ROCHEFORT;Province;Auvergne-Rhône-Alpes
01134;CROTTET;Province;Auvergne-Rhône-Alpes
01135;CROZET;Province;Auvergne-Rhône-Alpes
01136;CRUZILLES LES MEPILLAT;Province;Auvergne-Rhône-Alpes
01137;CUISIAT;Province;Auvergne-Rhône-Alpes
01138;CULOZ;Province;Auvergne-Rhône-Alpes
01139;CURCIAT DONGALON;Province;Auvergne-Rhône-Alpes
01140;CURTAFOND;Province;Auvergne-Rhône-Alpes
01141;CUZIEU;Province;Auvergne-Rhône-Alpes
01142;DAGNEUX;Province;Auvergne-Rhône-Alpes
01143;DIVONNE LES BAINS;Province;Auvergne-Rhône-Alpes
01144;DOMMARTIN;Province;Auvergne-Rhône-Alpes
01145;DOMPIERRE SUR VEYLE;Province;Auvergne-Rhône-Alpes
01146;DOMPIERRE SUR CHALARONNE;Province;Auvergne-Rhône-Alpes
01147;DOMSURE;Province;Auvergne-Rhône-Alpes
01148;DORTAN;Province;Auvergne-Rhône-Alpes
01149;DOUVRES;Province;Auvergne-Rhône-Alpes
01150;DROM;Province;Auvergne-Rhône-Alpes
01151;DRUILLAT;Province;Auvergne-Rhône-Alpes
01152;ECHALLON;Province;Auvergne-Rhône-Alpes
01153;ECHENEVEX;Province;Auvergne-Rhône-Alpes
01154;ETREZ;Province;Auvergne-Rhône-Alpes
01155;EVOSGES;Province;Auvergne-Rhône-Alpes
01156;FARAMANS;Province;Auvergne-Rhône-Alpes
01157;FAREINS;Province;Auvergne-Rhône-Alpes
01158;FARGES;Province;Auvergne-Rhône-Alpes
01159;FEILLENS;Province;Auvergne-Rhône-Alpes
01160;FERNEY VOLTAIRE;Province;Auvergne-Rhône-Alpes
01161;FITIGNIEU;Province;Auvergne-Rhône-Alpes
01162;FLAXIEU;Province;Auvergne-Rhône-Alpes
01163;FOISSIAT;Province;Auvergne-Rhône-Alpes
01164;FORENS;Province;Auvergne-Rhône-Alpes
01165;FRANCHELEINS;Province;Auvergne-Rhône-Alpes
01166;FRANS;Province;Auvergne-Rhône-Alpes
01167;GARNERANS;Province;Auvergne-Rhône-Alpes
01168;GENAY;Province;Auvergne-Rhône-Alpes
01169;GENOUILLEUX;Province;Auvergne-Rhône-Alpes
01170;GEOVREISSIAT;Province;Auvergne-Rhône-Alpes
01171;GEOVREISSET;Province;Auvergne-Rhône-Alpes
01172;GERMAGNAT;Province;Auvergne-Rhône-Alpes
01173;GEX;Province;Auvergne-Rhône-Alpes
01174;GIRON;Province;Auvergne-Rhône-Alpes
01175;GORREVOD;Province;Auvergne-Rhône-Alpes
01176;LE GRAND ABERGEMENT;Province;Auvergne-Rhône-Alpes
01177;GRAND CORENT;Province;Auvergne-Rhône-Alpes
01178;GRANGES;Province;Auvergne-Rhône-Alpes
01179;GRIEGES;Province;Auvergne-Rhône-Alpes
01180;GRILLY;Province;Auvergne-Rhône-Alpes
01181;GROISSIAT;Province;Auvergne-Rhône-Alpes
01182;GROSLEE;Province;Auvergne-Rhône-Alpes
01183;GUEREINS;Province;Auvergne-Rhône-Alpes
01184;HAUTECOURT ROMANECHE;Province;Auvergne-Rhône-Alpes
01185;HAUTEVILLE LOMPNES;Province;Auvergne-Rhône-Alpes
01186;HOSTIAS;Province;Auvergne-Rhône-Alpes
01187;HOTONNES;Province;Auvergne-Rhône-Alpes
01188;ILLIAT;Province;Auvergne-Rhône-Alpes
01189;INJOUX GENISSIAT;Province;Auvergne-Rhône-Alpes
01190;INNIMOND;Province;Auvergne-Rhône-Alpes
01191;IZENAVE;Province;Auvergne-Rhône-Alpes
01192;IZERNORE;Province;Auvergne-Rhône-Alpes
01193;IZIEU;Province;Auvergne-Rhône-Alpes
01194;JASSANS RIOTTIER;Province;Auvergne-Rhône-Alpes
01195;JASSERON;Province;Auvergne-Rhône-Alpes
01196;JAYAT;Province;Auvergne-Rhône-Alpes
01197;JOURNANS;Province;Auvergne-Rhône-Alpes
01198;JOYEUX;Province;Auvergne-Rhône-Alpes
01199;JUJURIEUX;Province;Auvergne-Rhône-Alpes
01200;LABALME;Province;Auvergne-Rhône-Alpes
01201;LACOUX;Province;Auvergne-Rhône-Alpes
